ced_id,edu_highschool,edu_tertiary,edu_adv_diploma,edu_bachelors,edu_postgrad
CED101,86954,20322,13934,27680,13163
CED102,104412,18301,15360,35129,17923
CED103,120712,16492,14921,45931,28469
CED104,87208,17945,13101,31892,18734
CED105,85766,17668,12849,21410,9251
CED106,109181,10285,12934,44045,28108
CED107,56735,34136,11097,15986,6891
CED108,89618,24092,12797,26520,11900
CED109,75531,24321,14328,24559,10133
CED110,58210,34999,12749,16518,6997
CED111,74572,28028,12759,23985,13828
CED112,56689,34330,12357,14357,5681
CED113,68827,30084,12632,18816,11174
CED114,54748,32466,10874,14431,5605
CED115,74649,18549,10967,17057,5203
CED116,57793,35459,13076,16392,8425
CED117,97077,12801,11854,39945,23366
CED118,103521,23012,14942,34745,19980
CED119,73160,26138,14032,22868,10737
CED120,60701,36459,13300,15247,7040
CED121,52816,40689,11829,13178,5468
CED122,110545,19211,14714,39962,22144
CED123,71280,33978,13107,17612,8468
CED124,47116,35597,11657,12691,5186
CED125,85383,32479,15153,21691,10470
CED126,84391,22573,15486,29097,12657
CED127,62201,28313,12882,18598,11098
CED128,71328,22160,11823,17105,6252
CED129,106081,20540,15759,38225,21913
CED130,51766,30141,9685,13693,6619
CED131,79212,27880,12436,27375,13257
CED132,112482,10716,12842,48397,29315
CED133,54934,34481,11799,15680,6484
CED134,44547,27238,8209,11728,4426
CED135,115565,17260,14875,40204,25510
CED136,55202,40053,12856,13262,5400
CED137,129074,16825,18032,47721,27497
CED138,68189,30687,14182,21434,8774
CED139,51493,31224,9822,13787,5321
CED140,64310,28640,13376,19522,8747
CED141,53559,32828,11785,16371,6700
CED142,150897,14784,17991,63022,35807
CED143,95130,13602,13003,39443,19923
CED144,92395,17583,13440,26603,12831
CED145,99614,9814,10900,44608,22006
CED146,88505,24402,13934,22087,8768
CED147,59640,35920,13274,15470,7331
CED194,3320,1621,614,969,436
CED197,0,0,0,0,0
CED201,80120,24327,14406,24720,12172
CED202,61430,26914,11734,17793,10040
CED203,59269,27165,11665,17358,9522
CED204,83201,25191,14812,20765,9955
CED205,82253,21746,14179,19831,10241
CED206,67337,31175,14286,18442,9021
CED207,111700,14714,15136,40019,25479
CED208,90944,15247,11651,32417,20601
CED209,69334,26476,14229,21773,10669
CED210,68776,26101,12552,20898,10799
CED211,86787,21950,14954,29083,16341
CED212,68772,28837,14529,18091,8220
CED213,63533,27902,14090,17486,7788
CED214,91959,17833,12192,28292,14962
CED215,98108,19802,14764,32741,20129
CED216,49471,31561,11091,12051,5551
CED217,94048,12613,13188,37119,20003
CED218,84699,22588,13230,23049,9341
CED219,65883,29574,13050,15163,7283
CED220,106322,10469,12153,45179,25400
CED221,80392,28216,15788,19270,9319
CED222,105262,19507,14578,31623,17905
CED223,56048,31519,12946,14808,7379
CED224,83492,21142,14365,26844,12982
CED225,86447,19595,13197,30444,18357
CED226,107955,9757,12298,44294,27300
CED227,73422,28097,15103,19229,9897
CED228,93968,24814,15592,26472,17539
CED229,115249,13234,14281,47188,28389
CED230,51051,30439,10747,11797,4688
CED231,84664,17644,11961,29643,16012
CED232,70601,27728,14007,19159,10308
CED233,148166,12584,14475,61442,38862
CED234,99930,16339,14688,36254,20015
CED235,50761,29833,11400,13141,6332
CED236,50160,29218,10911,11794,5117
CED237,80961,22136,13505,20380,11007
CED238,53908,28823,11429,14511,6554
CED239,93078,15510,11762,33111,21250
CED294,2452,1148,372,701,337
CED297,5,4,4,3,0
CED301,73237,39056,13673,14955,6407
CED302,86770,23332,13396,28480,14153
CED303,70355,33505,14857,16855,7196
CED304,124534,19143,15087,49181,24964
CED305,55487,32937,8305,11964,4490
CED306,59435,33972,9638,13560,4896
CED307,77313,30158,14195,20767,9255
CED308,86927,37008,17951,20660,9507
CED309,77190,33370,15563,21775,9439
CED310,76172,34913,15259,20702,8716
CED311,50948,34057,8141,10003,3244
CED312,78105,38858,14991,15619,6274
CED313,114687,19615,14286,43965,22805
CED314,65064,30282,11308,17302,8027
CED315,68614,31864,10863,16391,6926
CED316,51063,33596,10260,11692,4455
CED317,56376,33631,9661,11346,4141
CED318,73526,33095,13468,18822,8149
CED319,87558,24889,14060,28319,12786
CED320,68205,41524,14446,13058,4724
CED321,47952,28805,8725,10510,3277
CED322,78827,29296,15270,22726,9607
CED323,92799,30811,17575,26289,11246
CED324,99452,18681,12898,34487,19290
CED325,87867,27925,13946,22829,11211
CED326,82513,34532,15873,20892,9076
CED327,81025,29940,13092,18910,8795
CED328,103411,15909,12246,37817,24285
CED329,55269,32229,11722,13341,5264
CED330,69687,38317,13899,14760,6026
CED394,4685,2617,959,1322,537
CED397,29,25,4,4,0
CED401,113460,22529,14465,40193,22399
CED402,54007,34805,10108,11615,4000
CED403,94359,24425,14553,33263,17413
CED404,50606,34387,9346,10559,3688
CED405,82030,29338,13578,24032,10728
CED406,68634,36766,12885,16368,6610
CED407,74160,32357,13013,18851,8636
CED408,75071,33452,14775,22056,10585
CED409,61049,36185,10352,10372,3741
CED410,104019,21323,14455,37862,21901
CED494,850,577,154,234,105
CED497,4,4,0,0,0
CED501,68495,39444,13311,14013,5310
CED502,75142,31810,12921,18715,7975
CED503,56386,35042,11809,11720,4421
CED504,82182,29566,13593,21575,8565
CED505,107391,14896,13118,44142,24498
CED506,64702,38773,11401,14409,5502
CED507,58263,34299,11301,15074,5355
CED508,83619,27643,13286,26603,12704
CED509,75515,33551,14049,18845,7994
CED510,83982,28136,15010,26364,11387
CED511,58986,33821,10305,13399,4723
CED512,78830,34775,14611,18149,6642
CED513,107154,22938,15427,40037,20020
CED514,101587,27141,15264,33371,16530
CED515,101709,22289,14899,36577,18201
CED594,2024,1105,335,563,225
CED597,174,117,35,39,6
CED601,39600,20342,7062,12144,6245
CED602,30297,23426,6706,8210,3484
CED603,58583,14809,7288,20006,14857
CED604,48690,19317,8467,15466,9226
CED605,34056,23506,7104,8422,3644
CED694,374,221,52,84,51
CED697,7,5,6,3,0
CED701,36903,18141,5913,8870,4755
CED702,51720,17152,7804,15855,9746
CED794,805,389,157,259,144
CED797,29,32,6,7,0
CED801,85738,20300,13023,26621,17681
CED802,99115,10486,8749,35249,30739
CED803,91325,18583,12790,28239,21236
CED894,253,78,36,69,46
CED897,0,0,0,0,0
CED994,3,6,0,3,0
CED997,0,0,0,0,0
