ced_id,rel_buddhism,rel_christianity,rel_hinduism,rel_islam,rel_other,rel_secular_spiritual,rel_none
CED101,7292,82781,7213,10240,968,44697,9533
CED102,9333,79056,11152,14893,783,53307,12762
CED103,8534,82112,9759,6170,1588,71710,10841
CED104,4481,76944,7169,2688,1358,53154,6459
CED105,14674,58837,7557,59699,1032,28738,18027
CED106,5952,71920,7323,2268,1659,68899,7979
CED107,1067,95015,1196,777,962,54850,15272
CED108,3059,98014,22101,19454,8537,35062,15786
CED109,2169,89755,993,2667,436,44921,8206
CED110,1521,82012,787,522,1838,68686,14680
CED111,2084,79549,1787,3945,788,63932,9439
CED112,1403,83897,983,687,804,63765,11052
CED113,1370,76790,1787,1125,1416,66094,12825
CED114,1065,92566,2920,1361,2304,57349,15482
CED115,33205,78003,3309,13034,4552,27472,13925
CED116,1271,79234,685,419,671,68114,13175
CED117,4534,53387,3039,1780,808,77322,9059
CED118,4650,86554,35641,12174,12114,38135,12180
CED119,2083,87168,2727,3245,598,47410,6901
CED120,1319,101903,1118,1855,813,53896,11086
CED121,1212,89457,847,626,611,68963,12635
CED122,5909,85707,2917,4939,754,62577,13467
CED123,2141,99724,6702,5181,3071,56675,14282
CED124,937,85109,387,281,533,58014,11981
CED125,4978,106170,11391,20059,3408,46243,13163
CED126,2230,76875,1416,757,864,64879,7875
CED127,1520,72983,697,608,1068,60031,8194
CED128,9229,97938,4926,24206,2121,24405,12781
CED129,5819,95353,15606,8943,4040,50669,7575
CED130,997,88592,1178,809,1417,50150,15425
CED131,1794,72700,1845,2802,869,75893,10106
CED132,5246,70980,5184,1987,1067,71280,9899
CED133,1496,79180,450,422,2536,68413,16165
CED134,743,85752,1610,747,702,45439,19945
CED135,6904,71213,40401,21391,4747,42363,16143
CED136,1103,91659,941,777,898,69916,10203
CED137,10807,83594,18175,7452,1267,66669,13600
CED138,2112,69317,996,222,1204,76932,16028
CED139,774,97762,1011,1298,1515,45617,13338
CED140,1789,75551,1189,724,702,62188,9530
CED141,1095,76677,635,469,587,64250,8112
CED142,13671,55375,3655,3409,1143,107051,17948
CED143,2133,69035,1291,815,686,68286,7768
CED144,9112,73205,6428,45885,884,32972,14557
CED145,1883,51077,771,722,428,60395,11139
CED146,14662,94318,12690,31811,5280,26563,13814
CED147,1298,90593,1119,2737,708,61688,10233
CED194,134,3064,64,163,79,3736,4113
CED197,0,0,0,0,0,0,0
CED201,6881,67871,5662,2457,1888,66169,8025
CED202,1167,62821,1393,834,1294,73988,10650
CED203,1746,61451,901,810,971,74620,11943
CED204,9435,74617,8411,24781,4217,45222,12296
CED205,5211,77008,11037,44950,11098,26481,12654
CED206,1575,59461,792,418,998,84926,9059
CED207,13805,68402,11813,4138,2271,72495,10266
CED208,4052,59479,3853,6425,1253,71584,9255
CED209,1183,65506,1373,837,1020,73212,9522
CED210,1833,70451,2317,3268,1750,68097,11419
CED211,5091,71009,4080,1946,1762,74514,8525
CED212,1829,61405,1534,1206,937,80054,10670
CED213,979,63020,282,277,447,73760,11291
CED214,20964,65403,6279,10071,2516,57110,13892
CED215,5256,73005,18493,13225,6359,60839,12634
CED216,1086,62805,631,771,818,73368,14809
CED217,2336,62291,2901,1011,652,66449,8102
CED218,10815,93846,8274,12743,6948,33062,12377
CED219,2051,76322,4142,5457,5919,59995,11413
CED220,3693,59054,5300,1767,791,68687,9317
CED221,8931,68159,13214,20055,10805,54345,11613
CED222,24140,74269,11461,10424,4760,55277,11638
CED223,1071,69388,922,408,800,70656,13285
CED224,5920,68293,3745,7459,1425,63965,8280
CED225,2761,70295,2531,3341,920,71207,7575
CED226,5618,67483,4189,1893,988,74062,7904
CED227,6333,65799,8024,5891,6713,66270,10323
CED228,5051,74527,26188,20479,13684,46912,14424
CED229,3651,48488,4988,2490,932,77312,13533
CED230,2308,76613,901,2038,1157,68850,15719
CED231,4014,80991,3317,5660,812,50506,7943
CED232,1883,69123,4459,3486,4082,67430,9329
CED233,10674,46987,7658,6760,1219,108587,17108
CED234,7975,75751,4042,4985,2008,68994,8706
CED235,1109,59059,464,342,728,72480,12072
CED236,1375,74766,1250,4778,2090,61355,13844
CED237,6440,82830,10671,18320,6706,35242,10131
CED238,906,69708,533,393,522,68580,13794
CED239,3221,58201,5965,16236,1010,64119,9280
CED294,128,1797,78,211,68,2937,3854
CED297,0,5,0,0,0,7,27
CED301,1505,85874,2369,1223,1902,81507,15492
CED302,3527,79192,4125,2683,1442,63213,8492
CED303,1389,78951,970,593,1034,67660,8505
CED304,3915,74005,4495,2009,1192,84715,12584
CED305,1036,79398,1059,613,653,58100,18908
CED306,1199,80830,1033,550,740,60045,17621
CED307,1192,77922,1962,584,1010,68724,8091
CED308,2614,85835,2335,3115,1875,83731,14763
CED309,1703,73234,1112,463,851,79858,12064
CED310,1667,75891,1168,381,945,79652,12345
CED311,1077,75051,847,496,693,63211,17268
CED312,2409,82115,2242,4208,2944,83587,15733
CED313,3715,72588,3616,2448,1423,81457,12039
CED314,1454,89711,2134,1453,3307,51854,10880
CED315,1278,77770,1025,898,1037,66891,15064
CED316,1345,76705,694,636,700,63963,12459
CED317,1128,84238,527,459,2201,61633,21175
CED318,2760,76536,1560,747,1646,71914,20272
CED319,2116,76604,4554,1328,2646,64794,9406
CED320,1523,81661,788,513,1153,86054,14786
CED321,627,84954,394,272,615,47963,16544
CED322,2220,73961,999,670,803,73387,11225
CED323,3359,78793,2577,1751,1678,76422,16935
CED324,6876,65090,5544,7943,3852,69287,9726
CED325,9239,79652,6570,6896,3499,65297,15204
CED326,1916,87153,5329,1444,3623,74293,11454
CED327,5184,77689,4187,12552,3943,68424,14800
CED328,2870,70806,3888,2071,939,74821,8058
CED329,1193,67241,313,194,743,68213,14200
CED330,1519,83495,1057,1117,1264,78850,14234
CED394,126,4435,46,76,91,5943,3935
CED397,0,28,0,0,0,17,135
CED401,7933,73789,10327,9566,5051,79294,11486
CED402,1088,70460,486,1161,1375,81714,15342
CED403,2612,71180,4931,3081,2032,83137,8495
CED404,868,70366,554,458,1092,81253,16844
CED405,3844,81617,3345,3533,3011,68381,8698
CED406,1284,59842,1217,1302,1287,91734,9343
CED407,4110,69551,5960,8334,4749,71801,9207
CED408,1259,64114,373,285,828,94935,11808
