ced_id,job_science,job_infotech,job_engineering,job_architect_constr,job_agriculture,job_health,job_education,job_commerce,job_society_culture,job_creative_arts,job_food_hospitality,job_mixedfield,job_pos_manager,job_pos_professional,job_pos_technician,job_pos_community_service,job_pos_admin,job_pos_sales,job_pos_mach_operators,job_pos_labourer,jobs_pos_total
CED101,1809,3945,6909,2559,495,5461,4171,16085,6427,2284,2149,67,7974,18164,6052,5131,8190,3294,1990,2586,54347
CED102,2316,5364,7304,2783,505,6234,3799,19655,8135,3952,2658,99,9164,22793,6727,6141,8699,4302,2349,3787,65248
CED103,3680,7397,10261,2848,674,7552,4327,24644,8702,3635,2271,64,12915,33880,6760,5155,10324,4280,1550,2239,78337
CED104,2803,4647,8076,3223,1019,6000,4567,16554,6937,2604,1575,42,12013,23797,5812,3998,7911,2680,1022,1595,59631
CED105,1361,3538,5314,1751,247,4113,2935,10865,4654,1112,1674,83,4059,11183,4833,5028,5454,2537,2419,3069,39642
CED106,3124,5354,6825,2087,641,7444,3742,22477,9230,3262,1350,53,14878,30760,3588,3776,7927,3302,729,1329,67439
CED107,1098,787,9425,3491,2505,6650,5161,9386,6425,1449,3151,83,7550,12765,8900,6934,5932,2347,3245,3348,51790
CED108,1898,5434,9106,1969,591,6007,3247,14991,6089,1458,2439,72,5524,15249,6813,6816,8477,2974,5290,3648,56022
CED109,1562,1799,7595,4471,612,5609,4643,15590,6562,2569,2238,40,10872,17773,7079,4751,7665,3191,1283,1602,55103
CED110,890,829,5793,3437,1489,7064,4949,8847,6651,1331,3336,61,5850,12965,6903,7520,5518,2712,1467,3203,46839
CED111,1986,1880,9237,3665,1011,7206,5620,11263,7818,2798,2282,34,7734,19800,7905,6679,6478,2517,2179,2444,56497
CED112,850,1146,6476,4188,1095,6119,4529,9836,6457,1616,2938,45,6030,11640,8092,7133,5961,2676,2058,2820,47137
CED113,1717,2027,8049,4235,2371,5448,4661,10657,7970,1960,3081,51,10475,14053,8265,6261,6916,2408,2036,3198,54662
CED114,908,844,8307,3372,3435,6060,5227,9193,5593,964,3191,74,8325,11229,8271,6407,5576,2350,2554,4138,49689
CED115,1182,2013,4996,1606,211,3625,2512,8851,4225,1093,1575,77,3330,9408,4295,4106,5104,2088,2463,2185,33760
CED116,1016,649,7050,4450,1447,5798,4549,8053,6235,1431,2960,37,6463,11857,8127,6573,4940,2527,1539,2949,45669
CED117,3023,3169,5247,3379,803,6527,4170,17286,13830,9332,1853,47,14410,33301,5032,4350,7503,3137,979,1604,71213
CED118,2891,8507,11568,2733,791,6830,4790,20145,7236,2098,2707,61,10396,25196,7826,6864,10652,3645,4170,3042,73093
CED119,1829,2349,8874,3958,814,5483,5559,14667,7110,2470,2134,38,9806,18641,8012,5528,8337,2705,1466,1789,57010
CED120,1088,1071,10149,5130,1882,5691,5835,10899,7341,1557,2978,56,8758,12557,10366,7048,7123,2871,3117,3126,55893
CED121,923,835,12186,3306,1331,5919,4175,9778,5979,1187,3427,50,5860,10728,10818,7089,5930,2574,4371,3105,51283
CED122,3087,3429,8369,4344,778,7935,4389,21251,10414,5087,2746,79,12940,29145,7669,5887,8737,4087,1959,2869,74553
CED123,1314,2476,9551,3992,994,5923,4819,13286,7441,1904,3066,58,7178,13887,9107,7260,8597,3021,4033,3105,57189
CED124,656,537,6822,3380,1598,5739,4107,6990,5150,903,2698,35,5482,9597,7141,6271,4473,2248,1893,2799,40566
CED125,1528,3391,9522,3435,747,6463,5108,14687,7767,1751,2951,65,7235,15729,8698,7644,8645,3555,4015,3314,60005
CED126,2074,2198,6783,4654,1172,5587,4726,16603,7406,3882,2242,26,13041,19710,7372,4940,6915,3309,1300,1887,59338
CED127,1467,1217,7517,4025,1675,5367,5844,9147,7271,2763,2284,42,7599,15175,8311,5771,6150,2274,2005,2358,50383
CED128,1263,2160,6218,2414,367,3599,2944,10289,4829,1175,1686,37,4646,10078,5663,4312,6338,2181,2512,2178,38749
CED129,2921,6621,10263,3343,746,7484,5469,22630,7784,2679,2204,48,14690,29022,6697,5198,10394,3921,1554,1837,74401
CED130,1069,604,6787,2837,3221,6001,4836,8003,5783,993,2592,61,7221,11093,6749,5922,4938,2257,2264,3861,44940
CED131,2044,1610,9164,3761,1065,10089,5630,12237,8416,3152,2932,44,7993,23937,8046,7207,6958,2762,2032,2413,62114
CED132,3301,5089,6918,2800,694,7826,3715,26233,12586,4925,1752,30,17886,37179,3997,3718,8451,3703,689,1164,77990
CED133,983,677,6369,3296,2286,6268,4941,7947,6632,1562,2953,43,6143,11482,7025,7233,5359,2394,1871,3986,46207
CED134,649,542,7523,2326,3144,5421,4841,7625,5003,619,2308,59,7127,9778,6486,5971,4697,1926,2704,2858,42258
CED135,3009,10274,10978,2298,573,7122,3682,20181,6980,2144,2216,78,8660,27741,6537,6577,9479,4097,3706,3847,72196
CED136,952,969,10933,3292,1105,5930,4089,10429,6481,1263,3576,44,5742,10908,10350,7803,6437,2751,3318,3091,51207
CED137,3011,7726,9267,3231,540,8828,4481,26689,9704,4032,2843,85,14132,33095,6882,6085,10546,5128,2054,3844,83408
CED138,1128,767,5646,4620,1626,7286,5077,9048,6947,3326,3510,35,7446,14808,8228,7101,5085,2900,1496,3362,51329
CED139,793,644,7490,3143,3378,6107,5046,8583,5508,1033,2805,83,7811,11428,7481,6537,5086,2296,2301,3202,46823
CED140,1218,1499,6024,3818,1133,6568,4349,10679,6579,2460,2394,49,7291,15280,7052,5742,6188,2498,1414,2313,48495
CED141,1054,911,8274,4095,866,6454,4702,9600,5992,1545,2525,28,5905,13836,8328,6404,6040,2255,2009,2324,47685
CED142,4580,6361,8126,4304,824,8140,3704,30985,17777,11183,3892,120,19787,47567,7281,6789,10201,5307,1579,3477,103749
CED143,2551,2612,5569,3605,800,5726,3833,21800,10934,4994,1743,38,16442,27509,4786,3989,6822,3483,877,1225,66193
CED144,1673,3597,5510,2191,356,4746,3583,13356,6180,2158,2101,85,5964,14992,5287,5338,6594,3289,2454,2702,47643
CED145,2187,1789,4164,3464,516,6290,2975,21859,14027,7097,1628,42,16120,32459,3617,3373,6124,3723,583,1105,68541
CED146,1605,3334,7645,2349,386,5443,4124,12975,5700,1394,2004,59,5915,14190,6382,5675,7588,2725,3267,2568,49299
CED147,990,1144,8944,4289,1112,5927,4502,10480,7260,1628,3101,38,6361,12472,9560,7325,6378,2721,2713,3081,51408
CED194,63,55,228,107,55,198,90,315,267,121,108,3,186,453,205,217,159,95,124,224,1714
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,2229,3802,9134,3683,885,6393,4608,13667,6646,2299,2695,42,8263,17865,8968,6359,7673,3412,2054,2717,58245
CED202,1186,1468,6373,3694,1728,7099,5151,8383,7018,2116,2752,44,6703,14459,7868,6779,5467,2464,1849,2847,49081
CED203,1148,1097,6499,3577,1692,7756,5180,7411,7001,1912,2697,51,6222,14692,7447,6750,4974,2327,1916,3054,48075
CED204,1835,3394,9549,3384,644,5447,3836,12181,6689,1541,2830,59,6079,13279,9103,6754,7049,3054,3466,4038,53960
CED205,1702,3754,8091,3099,491,4829,3899,10694,6578,1240,3154,54,5033,11704,7675,7487,6297,2929,4345,3645,50211
CED206,1662,1583,8772,5880,2002,6387,5620,9163,7413,2624,2914,34,8348,14670,11290,7027,6450,2625,1997,3007,56279
CED207,3616,6728,9190,2446,617,7550,4330,19597,7085,2844,2272,51,10984,27177,6246,5667,8469,4156,1826,2933,68693
CED208,3178,3288,6180,3294,1004,7311,5070,12743,11145,7229,2314,45,10016,27416,6594,6105,7056,3046,1716,2641,65590
CED209,1623,1278,6847,5102,1505,8004,5677,9484,7167,2342,2880,41,7704,16442,8795,7286,5688,2741,1745,2818,54031
