2023_Referendum_Merged
StateAb;DivisionID;DivisionName;PollingPlaceNm;YesVotes;YesPercentage;NoVotes;NoPercentage;FormalVotes;FormalPercentage;InformalVotes;InformalPercentage;TotalVotes
NT;306;Lingiari;Adelaide River;22;24.44;68;75.56;90;98.9;1;1.1;91
NT;306;Lingiari;Alice Springs;678;46.99;765;53.01;1443;99.04;14;0.96;1457
NT;306;Lingiari;Alice Springs PPVC;2746;44.58;3414;55.42;6160;99.23;48;0.77;6208
NT;307;Solomon;Bakewell;334;27.93;862;72.07;1196;98.92;13;1.08;1209
NT;306;Lingiari;Batchelor;51;31.29;112;68.71;163;100;0;0;163
NT;306;Lingiari;Bees Creek;104;21.89;371;78.11;475;99.79;1;0.21;476
NT;307;Solomon;Berrimah;65;27.2;174;72.8;239;100;0;0;239
NT;306;Lingiari;Berry Springs;121;23.91;385;76.09;506;99.61;2;0.39;508
NT;306;Lingiari;Braitling;274;40.53;402;59.47;676;98.69;9;1.31;685
NT;306;Lingiari;Coolalinga LINGIARI PPVC;1084;16.2;5609;83.8;6693;99.45;37;0.55;6730
NT;307;Solomon;Coolalinga SOLOMON PPVC;349;20.71;1336;79.29;1685;99.23;13;0.77;1698
NT;307;Solomon;Darwin;677;43.37;884;56.63;1561;98.99;16;1.01;1577
NT;306;Lingiari;Darwin LINGIARI PPVC;322;38.15;522;61.85;844;99.76;2;0.24;846
NT;307;Solomon;Darwin SOLOMON PPVC;3063;38.92;4806;61.08;7869;99.43;45;0.57;7914
NT;307;Solomon;Driver;252;29.17;612;70.83;864;98.97;9;1.03;873
NT;307;Solomon;Durack;273;29.1;665;70.9;938;99.58;4;0.42;942
NT;306;Lingiari;Eaton LINGIARI PPVC;209;32.97;425;67.03;634;99.69;2;0.31;636
NT;307;Solomon;Eaton SOLOMON PPVC;4128;32.37;8625;67.63;12753;99.27;94;0.73;12847
NT;306;Lingiari;EAV Lingiari PPVC;2;66.67;1;33.33;3;100;0;0;3
NT;307;Solomon;EAV Solomon PPVC;6;75;2;25;8;100;0;0;8
NT;306;Lingiari;Gillen;378;35.76;679;64.24;1057;99.44;6;0.56;1063
NT;307;Solomon;Gray;259;36.84;444;63.16;703;99.29;5;0.71;708
NT;306;Lingiari;Howard Springs;163;24.18;511;75.82;674;99.41;4;0.59;678
NT;306;Lingiari;Humpty Doo;192;21.87;686;78.13;878;98.43;14;1.57;892
NT;306;Lingiari;Ilparpa;58;35.58;105;64.42;163;98.79;2;1.21;165
NT;306;Lingiari;Jabiru PPVC;125;58.41;89;41.59;214;99.07;2;0.93;216
NT;306;Lingiari;Johnston (Lingiari);333;28.88;820;71.12;1153;99.65;4;0.35;1157
NT;307;Solomon;Johnston (Solomon);64;29.63;152;70.37;216;98.18;4;1.82;220
NT;307;Solomon;Karama;364;36.18;642;63.82;1006;98.72;13;1.28;1019
NT;307;Solomon;Karama East;198;41.77;276;58.23;474;98.54;7;1.46;481
NT;306;Lingiari;Katherine;185;38.7;293;61.3;478;99.17;4;0.83;482
NT;306;Lingiari;Katherine East;70;38.04;114;61.96;184;98.92;2;1.08;186
NT;306;Lingiari;Katherine PPVC;717;27.75;1867;72.25;2584;99.5;13;0.5;2597
NT;306;Lingiari;Larapinta;172;38.74;272;61.26;444;97.58;11;2.42;455
NT;307;Solomon;Leanyer;470;37.75;775;62.25;1245;98.34;21;1.66;1266
NT;307;Solomon;Ludmilla;239;39.9;360;60.1;599;98.84;7;1.16;606
NT;307;Solomon;Malak;513;44.07;651;55.93;1164;98.73;15;1.27;1179
NT;307;Solomon;Millner;443;42.27;605;57.73;1048;99.15;9;0.85;1057
NT;307;Solomon;Moil;492;40.36;727;59.64;1219;98.94;13;1.06;1232
NT;307;Solomon;Nakara;556;48.22;597;51.78;1153;99.23;9;0.77;1162
NT;306;Lingiari;Nhulunbuy PPVC;591;47.13;663;52.87;1254;99.68;4;0.32;1258
NT;306;Lingiari;Other Mobile Team 1;319;72.67;120;27.33;439;98.65;6;1.35;445
NT;307;Solomon;Other Mobile Team 1;101;63.52;58;36.48;159;99.38;1;0.63;160
NT;306;Lingiari;Other Mobile Team 2;547;85.87;90;14.13;637;99.53;3;0.47;640
NT;306;Lingiari;Palmerston LINGIARI PPVC;437;23.39;1431;76.61;1868;98.89;21;1.11;1889
NT;307;Solomon;Palmerston SOLOMON PPVC;1522;24.43;4709;75.57;6231;99.24;48;0.76;6279
NT;307;Solomon;Parap;894;51.23;851;48.77;1745;98.87;20;1.13;1765
NT;306;Lingiari;Pine Creek;14;20.9;53;79.1;67;100;0;0;67
NT;307;Solomon;Rapid Creek;820;59.08;568;40.92;1388;99.5;7;0.5;1395
NT;306;Lingiari;Remote Mobile Team 1;1062;85.58;179;14.42;1241;98.73;16;1.27;1257
NT;306;Lingiari;Remote Mobile Team 10;266;69.09;119;30.91;385;99.23;3;0.77;388
NT;306;Lingiari;Remote Mobile Team 11;297;59.88;199;40.12;496;99.2;4;0.8;500
NT;306;Lingiari;Remote Mobile Team 12;299;73.46;108;26.54;407;99.75;1;0.25;408
NT;306;Lingiari;Remote Mobile Team 13;366;76.73;111;23.27;477;98.15;9;1.85;486
NT;306;Lingiari;Remote Mobile Team 14;373;79.19;98;20.81;471;97.92;10;2.08;481
NT;306;Lingiari;Remote Mobile Team 15;93;65.49;49;34.51;142;97.26;4;2.74;146
NT;306;Lingiari;Remote Mobile Team 16;243;61.21;154;38.79;397;99.75;1;0.25;398
NT;306;Lingiari;Remote Mobile Team 17;238;63.47;137;36.53;375;99.47;2;0.53;377
NT;306;Lingiari;Remote Mobile Team 18;684;91.94;60;8.06;744;99.47;4;0.53;748
NT;306;Lingiari;Remote Mobile Team 19;508;89.59;59;10.41;567;97.76;13;2.24;580
NT;306;Lingiari;Remote Mobile Team 2;435;79.67;111;20.33;546;99.64;2;0.36;548
NT;306;Lingiari;Remote Mobile Team 20;256;61.69;159;38.31;415;99.28;3;0.72;418
NT;306;Lingiari;Remote Mobile Team 21;182;69.47;80;30.53;262;98.5;4;1.5;266
NT;306;Lingiari;Remote Mobile Team 22;93;80.87;22;19.13;115;99.14;1;0.86;116
NT;306;Lingiari;Remote Mobile Team 3;190;85.97;31;14.03;221;96.09;9;3.91;230
NT;306;Lingiari;Remote Mobile Team 4;397;56.07;311;43.93;708;99.3;5;0.7;713
NT;306;Lingiari;Remote Mobile Team 5;887;82.97;182;17.03;1069;99.17;9;0.83;1078
NT;306;Lingiari;Remote Mobile Team 6;703;86.79;107;13.21;810;99.02;8;0.98;818
NT;306;Lingiari;Remote Mobile Team 7;316;52.15;290;47.85;606;99.84;1;0.16;607
NT;306;Lingiari;Remote Mobile Team 8;633;62.18;385;37.82;1018;99.71;3;0.29;1021
NT;306;Lingiari;Remote Mobile Team 9;427;58.33;305;41.67;732;98.92;8;1.08;740
NT;307;Solomon;Rosebery;233;25.98;664;74.02;897;99.78;2;0.22;899
NT;306;Lingiari;Sadadeen;297;49.58;302;50.42;599;98.68;8;1.32;607
NT;307;Solomon;Special Hospital Team 1;41;77.36;12;22.64;53;98.15;1;1.85;54
NT;306;Lingiari;Special Hospital Team 1;9;28.13;23;71.88;32;100;0;0;32
NT;307;Solomon;Stuart Park;344;46.05;403;53.95;747;99.07;7;0.93;754
NT;306;Lingiari;Tennant Creek PPVC;537;50.42;528;49.58;1065;99.35;7;0.65;1072
NT;306;Lingiari;Tindal;94;36.15;166;63.85;260;100;0;0;260
NT;306;Lingiari;Wagait Beach;71;37.17;120;62.83;191;100;0;0;191
NT;307;Solomon;Wanguri;539;39.46;827;60.54;1366;98.56;20;1.44;1386
NT;307;Solomon;Woodroffe;159;32.78;326;67.22;485;98.98;5;1.02;490
ACT;101;Canberra;Ainslie North;1630;83.16;330;16.84;1960;99.59;8;0.41;1968
ACT;102;Fenner;Amaroo;1337;57.58;985;42.42;2322;99.27;17;0.73;2339
ACT;101;Canberra;Aranda (Canberra);1219;83.27;245;16.73;1464;99.19;12;0.81;1476
ACT;102;Fenner;Aranda (Fenner);122;75.78;39;24.22;161;100;0;0;161
ACT;101;Canberra;Barton;1368;74.63;465;25.37;1833;99.62;7;0.38;1840
ACT;101;Canberra;Belconnen (Canberra);471;67.58;226;32.42;697;99.57;3;0.43;700
ACT;102;Fenner;Belconnen (Fenner);1221;68.4;564;31.6;1785;99.39;11;0.61;1796
ACT;318;Bean;Belconnen BEAN PPVC;666;56.97;503;43.03;1169;99.07;11;0.93;1180
ACT;101;Canberra;Belconnen CANBERRA PPVC;5153;61.33;3249;38.67;8402;99.16;71;0.84;8473
ACT;102;Fenner;Belconnen FENNER PPVC;8144;51.94;7537;48.06;15681;99.24;120;0.76;15801
ACT;102;Fenner;Bonner;933;56.96;705;43.04;1638;99.09;15;0.91;1653
ACT;318;Bean;Bonython;638;57.22;477;42.78;1115;98.85;13;1.15;1128
ACT;101;Canberra;Braddon;1442;79.14;380;20.86;1822;99.24;14;0.76;1836
ACT;101;Canberra;Bruce (Canberra);626;72.88;233;27.12;859;99.08;8;0.92;867
ACT;102;Fenner;Bruce (Fenner);133;71.51;53;28.49;186;99.47;1;0.53;187
ACT;318;Bean;Calwell;820;53.88;702;46.12;1522;98.83;18;1.17;1540
ACT;101;Canberra;Campbell;1194;68.42;551;31.58;1745;99.26;13;0.74;1758
ACT;101;Canberra;Campbell North;444;73.75;158;26.25;602;99.5;3;0.5;605
ACT;318;Bean;Chapman;1497;68.48;689;31.52;2186;99.41;13;0.59;2199
ACT;102;Fenner;Charnwood;1039;55.74;825;44.26;1864;99.15;16;0.85;1880
ACT;102;Fenner;Charnwood East;341;58.79;239;41.21;580;99.49;3;0.51;583
ACT;318;Bean;Chisholm;542;49.01;564;50.99;1106;98.49;17;1.51;1123
ACT;318;Bean;City (Bean);96;79.34;25;20.66;121;100;0;0;121
ACT;101;Canberra;City (Canberra);1093;77.52;317;22.48;1410;99.16;12;0.84;1422
ACT;102;Fenner;City (Fenner);109;71.71;43;28.29;152;99.35;1;0.65;153
ACT;318;Bean;City BEAN PPVC;1129;64.37;625;35.63;1754;99.49;9;0.51;1763
ACT;101;Canberra;City CANBERRA PPVC;6202;73.77;2205;26.23;8407;99.14;73;0.86;8480
ACT;102;Fenner;City FENNER PPVC;1486;62.59;888;37.41;2374;99.21;19;0.79;2393
ACT;318;Bean;Conder;934;49.44;955;50.56;1889;98.64;26;1.36;1915
ACT;318;Bean;Conder North;468;51.2;446;48.8;914;98.7;12;1.3;926
ACT;318;Bean;Coombs;1498;68.72;682;31.28;2180;99.05;21;0.95;2201
ACT;318;Bean;Curtin (Bean);150;70.42;63;29.58;213;97.26;6;2.74;219
ACT;101;Canberra;Curtin (Canberra);1291;72.49;490;27.51;1781;99.16;15;0.84;1796
ACT;101;Canberra;Deakin;563;63.76;320;36.24;883;99.21;7;0.79;890
ACT;318;Bean;Denman Prospect;679;64.36;376;35.64;1055;98.97;11;1.03;1066
ACT;101;Canberra;Dickson;263;75.57;85;24.43;348;99.15;3;0.85;351
ACT;101;Canberra;Dickson East;381;78.56;104;21.44;485;99.79;1;0.21;486
ACT;101;Canberra;Downer;1039;80.05;259;19.95;1298;98.86;15;1.14;1313
ACT;318;Bean;Duffy;1133;67.6;543;32.4;1676;99.17;14;0.83;1690
ACT;318;Bean;EAV Bean PPVC;9;60;6;40;15;100;0;0;15
ACT;101;Canberra;EAV Canberra PPVC;17;80.95;4;19.05;21;100;0;0;21
ACT;102;Fenner;EAV Fenner PPVC;7;63.64;4;36.36;11;100;0;0;11
ACT;102;Fenner;Evatt;972;60.67;630;39.33;1602;98.77;20;1.23;1622
ACT;102;Fenner;Evatt South;679;66.9;336;33.1;1015;99.12;9;0.88;1024
ACT;318;Bean;Fadden;967;62.07;591;37.93;1558;99.24;12;0.76;1570
ACT;318;Bean;Farrer;1282;67.9;606;32.1;1888;99.47;10;0.53;1898
ACT;102;Fenner;Florey;759;64.27;422;35.73;1181;98.66;16;1.34;1197
ACT;102;Fenner;Forde;761;59.64;515;40.36;1276;99.38;8;0.62;1284
ACT;102;Fenner;Franklin;780;61.32;492;38.68;1272;99.22;10;0.78;1282
ACT;102;Fenner;Fraser Central;1145;59.45;781;40.55;1926;98.77;24;1.23;1950
