total_p,indigenous_p,birth_aus,birth_oth,electoral,state,total_votes,yes_percent,indigenous_percent,born_aus_percent
199964,1105,98288,88437,Melbourne,VIC,67095,78.8926,0.5526,52.6378
150729,1794,95463,48979,Grayndler,NSW,82299,75.0106,1.1902,66.0909
204215,2968,90579,99956,Sydney,NSW,77804,71.3614,1.4534,47.5393
145507,2050,96554,41656,Canberra,ACT,75881,71.1258,1.4089,69.8604
168080,747,95504,62953,Macnamara,VIC,66832,66.7839,0.4444,60.2712
156279,1499,101021,48652,Cooper,VIC,77708,66.5993,0.9592,67.4945
158319,1000,98820,52799,Wills,VIC,73454,66.0985,0.6316,65.1765
146102,618,84217,54825,Wentworth,NSW,71716,62.7140,0.4230,60.5695
155062,507,98440,50446,Higgins,VIC,72503,61.6443,0.3270,66.1177
163354,425,104559,54034,Kooyong,VIC,79189,60.6726,0.2602,65.9291
