state,division_id,electoral,yes_votes,no_votes,total_votes
ACT,101,Canberra,53971,21910,75881
ACT,102,Fenner,46771,34265,81036
ACT,318,Bean,49487,38243,87730
NSW,103,Banks,31297,49287,80584
NSW,104,Barton,34112,43375,77487
NSW,105,Bennelong,41315,43246,84561
NSW,106,Berowra,38221,41983,80204
NSW,107,Blaxland,27920,44407,72327
NSW,108,Bradfield,42274,38836,81110
NSW,109,Calare,28039,71252,99291
NSW,111,Chifley,37283,53547,90830
NSW,112,Cook,30876,52772,83648
NSW,113,Cowper,34493,68060,102553
NSW,114,Cunningham,47599,43472,91071
NSW,115,Dobell,32032,58288,90320
NSW,117,Eden-Monaro,36483,55712,92195
NSW,118,Farrer,23376,70335,93711
NSW,119,Fowler,32469,48217,80686
NSW,120,Gilmore,38309,61580,99889
NSW,121,Grayndler,61733,20566,82299
NSW,122,Greenway,40431,52151,92582
NSW,124,Hughes,35137,48547,83684
NSW,125,Hume,25338,70079,95417
NSW,126,Hunter,29276,72195,101471
NSW,127,Kingsford Smith,46221,37072,83293
NSW,128,Lindsay,29884,65674,95558
NSW,130,Lyne,26017,73649,99666
NSW,131,Macarthur,36421,67143,103564
NSW,132,Mackellar,43454,41697,85151
NSW,133,Macquarie,37317,47846,85163
NSW,134,Mitchell,38465,54541,93006
NSW,135,New England,22517,69167,91684
NSW,136,Newcastle,50627,42586,93213
NSW,137,North Sydney,48651,31969,80620
NSW,138,Page,31795,65603,97398
NSW,139,Parkes,17547,65491,83038
NSW,140,Parramatta,32921,38369,71290
NSW,144,Reid,41765,39646,81411
NSW,145,Richmond,41020,52526,93546
NSW,146,Robertson,36887,47817,84704
NSW,148,Shortland,34292,54652,88944
NSW,149,Sydney,55522,22282,77804
NSW,150,Whitlam,35889,65042,100931
NSW,151,Warringah,46687,31771,78458
NSW,152,Wentworth,44976,26740,71716
NSW,153,Werriwa,34667,58415,93082
NSW,249,Paterson,31679,74733,106412
NSW,250,Riverina,23007,70633,93640
NSW,251,Watson,31598,43653,75251
NSW,315,McMahon,26638,50784,77422
NT,306,Lingiari,19870,24262,44132
NT,307,Solomon,17398,31613,49011
QLD,155,Bowman,23103,57825,80928
QLD,156,Brisbane,46118,34152,80270
QLD,157,Capricornia,15950,65001,80951
QLD,158,Dawson,16432,67188,83620
QLD,159,Fadden,22658,61764,84422
QLD,160,Fairfax,31302,58378,89680
QLD,161,Fisher,28510,60851,89361
QLD,162,Forde,21437,53229,74666
QLD,163,Griffith,46172,34044,80216
QLD,164,Groom,19492,59118,78610
QLD,165,Herbert,20116,61166,81282
QLD,166,Hinkler,17871,73838,91709
QLD,167,Kennedy,16700,67842,84542
QLD,168,Leichhardt,28628,52904,81532
QLD,169,Lilley,37269,41152,78421
QLD,170,Maranoa,12070,64578,76648
QLD,171,McPherson,28284,52096,80380
QLD,172,Moncrieff,23891,52919,76810
QLD,173,Moreton,35590,35315,70905
QLD,174,Oxley,32085,46634,78719
QLD,175,Petrie,28923,55920,84843
QLD,176,Rankin,25129,44055,69184
QLD,177,Ryan,42279,36442,78721
QLD,178,Wide Bay,21402,63171,84573
QLD,252,Dickson,27271,49058,76329
QLD,302,Longman,22435,66946,89381
QLD,304,Blair,26646,60938,87584
QLD,310,Bonner,30293,42210,72503
QLD,311,Flynn,13247,66796,80043
QLD,316,Wright,18371,62884,81255
SA,179,Adelaide,44215,43494,87709
SA,180,Barker,20600,74666,95266
SA,182,Boothby,44192,46464,90656
SA,183,Grey,18887,73106,91993
SA,185,Hindmarsh,36037,56352,92389
SA,186,Kingston,32601,57105,89706
SA,187,Makin,28258,58969,87227
SA,188,Mayo,40290,59311,99601
SA,190,Sturt,38767,49774,88541
SA,325,Spence,25750,65122,90872
TAS,192,Bass,22570,35278,57848
TAS,193,Braddon,18113,47473,65586
TAS,195,Franklin,31522,29885,61407
TAS,196,Lyons,20372,42060,62432
TAS,319,Clark,31867,22065,53932
VIC,197,Aston,34646,46807,81453
VIC,198,Ballarat,36411,49979,86390
VIC,200,Bendigo,35810,52233,88043
VIC,201,Bruce,33152,43719,76871
VIC,203,Calwell,30349,43326,73675
VIC,204,Casey,36545,48325,84870
VIC,205,Chisholm,38202,37000,75202
VIC,208,Corio,38286,44604,82890
VIC,209,Deakin,39198,39387,78585
VIC,210,Dunkley,35530,43377,78907
VIC,211,Flinders,36233,47794,84027
VIC,212,Gellibrand,43414,37220,80634
VIC,213,Gippsland,25020,66906,91926
VIC,214,Goldstein,45626,34560,80186
VIC,215,Higgins,44694,27809,72503
VIC,216,Holt,34089,43399,77488
VIC,217,Hotham,40171,39947,80118
VIC,218,Indi,29555,60597,90152
VIC,219,Isaacs,41868,39494,81362
VIC,220,Jagajaga,46571,37713,84284
VIC,221,Kooyong,48046,31143,79189
VIC,222,Lalor,39100,43187,82287
VIC,223,La Trobe,30867,47691,78558
VIC,224,Mallee,19517,72575,92092
VIC,225,Maribyrnong,38917,36006,74923
VIC,226,McEwen,31474,45865,77339
VIC,228,Melbourne,52933,14162,67095
VIC,229,Menzies,35483,42284,77767
VIC,232,Scullin,29081,47113,76194
VIC,233,Wannon,28510,61699,90209
VIC,234,Wills,48552,24902,73454
VIC,309,Gorton,32030,49360,81390
VIC,320,Cooper,51753,25955,77708
VIC,321,Fraser,42293,31435,73728
VIC,322,Macnamara,44633,22199,66832
VIC,323,Monash,29237,56934,86171
VIC,324,Nicholls,21466,67474,88940
VIC,326,Hawke,28385,49945,78330
VIC,328,Corangamite,41548,43132,84680
WA,235,Brand,26202,58362,84564
WA,236,Canning,19557,64147,83704
WA,237,Cowan,30750,52186,82936
WA,238,Curtin,44732,41565,86297
WA,239,Forrest,26903,60515,87418
WA,240,Fremantle,39604,43607,83211
WA,242,Moore,33203,53327,86530
WA,243,O'Connor,20899,65065,85964
WA,244,Pearce,26301,57631,83932
WA,245,Perth,45392,38107,83499
WA,247,Swan,34313,45391,79704
WA,248,Tangney,36681,51319,88000
WA,305,Hasluck,29410,55555,84965
WA,312,Durack,22741,57137,79878
WA,317,Burt,25872,51079,76951
